,Surname,First Names,Age,Boarded,Survivor (S) or Victim (†)
485,Hagland,Mr Konrad Mathias Reiersen,19,Southampton,†
486,Hakkarainen,Mr Pekka Pietari,28,Southampton,†
487,Hakkarainen,Mrs Elin Matilda,24,Southampton,S
488,Hale,Mr Reginald,30,Southampton,†
489,Hampe,Mr Léon Jérome,19,Southampton,†
490,Hanna,Mr Boulos,18,Cherbourg,†
491,Hanna,Mr Mansour,35,Cherbourg,†
492,Hannah,Mr Borak,27,Cherbourg,S
493,Hansen,Mr Claus Peter,41,Southampton,†
494,Hansen,Mr Henrik Juul,26,Southampton,†
495,Hansen,Mr Henry Damsgaard,21,Southampton,†
496,Hansen,Mrs Jennie Louise,45,Southampton,S
497,Harbeck,Mr William H.,44,Southampton,†
498,Harder,Mr George Achilles,25,Cherbourg,S
499,Harder,Mrs Dorothy,21,Cherbourg,S
500,Hargadon,Miss Catherine,17,Queenstown,†
501,Harknett,Miss Alice Phoebe,21,Southampton,†
